iterationNumber,portNumber1,message1,portNumber2,message2,ledcontroller
1,1423,WPTjG2,6083,GI98xb,0
2,2216,m4x3C2j,8096,KxcCRaT,0
3,5428,2BJNHtEd,3579,JA17Fsn4,0
4,4390,Fer1KU,4741,HZHtRM,1
5,3722,6l305H,2785,xDsxSY,1
6,3203,zR4JcBh,1599,epYrbh4,1
7,2333,QuXRAi,2467,htOUUL,0
8,5645,LRDW7C,2870,qNDBFS,1
9,4282,TvV9YX,9540,TNztHo,1
10,5714,J1ZR,3888,kcfa,1
11,4376,CPZ00ef,1690,aEflTwQ,1
12,3165,pFch,5529,ZeGP,1
13,7668,Y4P6V,5759,2Vi2B,1
14,7709,v7ffUDS,8643,sLW4aBv,0
15,9567,ZU4jft1,1454,BLZXMLd,0
16,2455,7M9Eyw4S,7241,ZCf4b13f,0
17,5761,hIR83,3966,anj10,0
18,3223,8Mk5QSm8,8468,KEwubMuh,0
19,1336,Lz6pB0D,8647,DXoDxZr,1
20,4381,wfNF7wK,5727,IAooNy0,1
21,2973,3S6AuGF,7453,Ibcjp4U,1
22,8420,dZVO,4140,mLdQ,0
23,3920,f0pFjZz,1277,NozN8Xy,0
24,9670,Lb2gv3,8121,W7HVsg,1
25,4313,ofmvIv,4677,Kh04gZ,1
26,9523,Jtret3,1290,uq1bTz,0
27,3355,ynz51f5s,4686,27WXxISO,1
28,2516,9fIS,1453,rZMu,1
29,4012,hMTWQE,3702,ah36X2,0
30,5833,D8EYtLt,1834,Y4vbbQp,1
31,1897,H1g1R1,9892,ZpBkUA,1
32,7571,mS286,3053,RSWFg,0
33,7727,HqD1wWZ,8911,K2Ssiun,1
34,9971,XDGP,9528,0yh1,1
35,3441,SnP2,2656,97zO,0
36,4948,6Gml5sEA,4716,guOlFQqS,0
37,4221,XEbdYiN,5644,50Xbm5N,1
38,7316,BPQFb,4347,GlmPp,1
39,9519,S7mK5ir,9219,tjTfJZN,1
40,7387,ewov0,5293,q4VCw,0
41,4591,QYqQivT1,3521,1P1gSA1F,0
42,9403,zW12dj,7579,HcXKiR,1
43,4959,Fad1,3763,CbKc,1
44,7341,gBul,2055,Rgfu,1
45,5620,92NU1N2,2278,1WES1i3,1
46,7020,FSfGGyFk,3390,9dzk3SgS,1
47,5949,RRaixCY,9735,XtJFMG9,0
48,3686,5aWLm,7041,458Cg,1
49,5941,zip4W,6736,laz98,1
50,5668,HFIx,1754,RQya,1
51,3857,sXSr,8484,2liJ,0
52,6137,7ASprcGV,9166,UdvZamag,1
53,1648,nF1ust,6411,U4Qcq0,0
54,5045,vGOSV,3801,tL39L,1
55,9756,46DYhjkU,3992,L23IVDwS,0
56,5048,A03eo,3005,Lh6Vt,0
57,3006,vzFL,2787,tjXt,0
58,7138,lp2u9Tft,5595,0t3NcPQs,0
59,4727,7bf4vV,7750,mJ4X7E,1
60,8642,ADw5,6401,bVnp,1
61,8239,VHUt,2964,rIpU,0
62,7083,7iNPb8,8002,4TX4R2,1
63,7610,829De,9911,3C4IZ,1
64,3111,xnwPUU,6852,lvHab7,0
65,2987,ULVX,3724,x2G3,1
66,9281,diede8V,1519,W37rxpW,0
67,3643,bLl4C0zh,2649,EXnNR1Rf,0
68,6708,j1hLKrD,5060,T7Pl5DG,0
69,9775,WnM5T9,4538,HqpKYN,1
70,7464,3unTM,4110,k69gX,0
71,1725,tCzw,8371,5Gl5,0
72,4633,OxhNP,5539,ZQzCm,0
73,5865,EEdZ,8178,XwUC,1
74,9780,TD9B2o3x,2195,f4S4Zo4J,1
75,7954,UP0H,1579,CBx9,0
76,6379,h6FVv,3740,mxAYH,1
77,3839,AChvGjKo,8542,JBkcPPr8,1
78,2069,otdsAN,9586,UpnGn6,1
79,1787,VB1YyUI,1860,TnDGHvT,1
80,9223,LOSO9i,3927,AykEP6,0
81,2726,X7RH,9871,ZJhz,1
82,9791,b70iwzP,4404,gsrViZE,1
83,1394,USPjaE,2697,5kJGsl,0
84,6197,a6Ty8LOf,4519,lMq3hYCq,1
85,6162,zXMi,5315,bnEw,1
86,9102,xiIUxW,2420,cdhKaY,0
87,8623,COIOPs0,3747,nfzPbJ1,1
88,9826,3mXjsAV,7482,YFPOOi8,1
89,8762,Bu8Xf,8555,ghc5T,0
90,7813,XV6nyY7Q,6561,jHFj2L6E,0
91,4244,Nvpvh,5681,2zdnF,1
92,2856,R67Bo,5505,cWigJ,1
93,2789,QTILHJ,5718,uxPTnG,0
94,8760,FIXg,8238,hVTB,1
95,4924,2tIPm,9298,XReUi,1
96,5478,tNJo8,2280,LO4YZ,0
97,1639,OjJ7Dx,2681,OYg1UF,0
98,3484,Y1Mj,8202,6I60,0
99,1864,VRvlXN,3937,p4xz5k,0
100,5426,ikpCcZC,8251,dGrHQls,1
101,5007,WWLfge,4595,tV3rcV,0
102,6778,uGCL,1898,0aG2,0
103,2368,oqOF,4080,Nfsb,1
104,4079,7j8C,2329,clkk,1
105,6604,CKArtzgA,5948,tGoeftqv,1
106,1329,w5DuT,7901,jBUaA,1
107,5058,lw1XsOk,7471,76sJh2B,0
108,9628,ebQBcbS,7122,LoCy8b1,0
109,5130,3987G5,7172,2pdHjD,0
110,9310,Ltz00ZA3,8957,5i2ygVvo,1
111,5801,8Z89,6002,F0hL,1
112,4885,nWGIz7,1747,w3lJow,1
113,4178,9sjKKuY,7656,wdMNcOW,0
114,4169,ja4ELz4,9425,SUHqUz4,1
115,3846,ANwO,3990,n1XX,1
116,7272,60IB5,5065,0IPOc,0
117,4893,d6W1i1,4425,XDFgK4,1
118,2283,l6Juik8M,4289,sMqdtY6T,0
